no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
421000,808738,Sale,Daire,Konut,200000,TRY,200000,TRY,2,1,2 + 1,88,6253,Kocaeli,6254,Başiskele,6258,Aydınkent
421001,1751679,Rent,Daire,Konut,1500,TRY,1500,TRY,2,1,2 + 1,90,2554,İzmir,3183,Karşıyaka,3196,Yalı
421002,1956600,Sale,Daire,Konut,170000,TRY,170000,TRY,1,1,1 + 1,65,2554,İzmir,2907,Buca,2908,Adatepe
421003,1721931,Rent,Daire,Konut,850,TRY,850,TRY,3,1,3 + 1,100,14264,Çanakkale,14265,Ayvacık,14266,Hamdibey
421004,1545081,Rent,Daire,Konut,1000,TRY,1000,TRY,1,1,1 + 1,56,1,İstanbul,601,Küçükçekmece,603,Atakent
421005,1985424,Sale,Villa,Konut,2250000,TRY,2250000,TRY,4,1,4 + 1,550,36701,Samsun,36803,Atakum,36823,Körfez
421006,1503153,Rent,Daire,Konut,1200,TRY,1200,TRY,2,1,2 + 1,120,1,İstanbul,394,Esenyurt,62334,Turgut Özal
421007,1337895,Sale,Büfe,İşyeri,450000,TRY,450000,TRY,,,,35,1,İstanbul,537,Kadıköy,558,Osmanağa
421008,1995408,Sale,Villa,Konut,750000,TRY,750000,TRY,5,1,5 + 1,240,13752,Bolu,13823,Bolu Merkez,70940,Dağkent
421009,1660582,Rent,Daire,Konut,800,TRY,800,TRY,2,1,2 + 1,50,8229,Afyonkarahisar,8669,Afyonkarahisar Merkez,70934,Erenler
421010,1962718,Rent,Daire,Konut,750,TRY,750,TRY,3,1,3 + 1,140,25014,Kayseri,25245,Kocasinan,25365,Fevzi Çakmak
421011,2035462,Sale,Daire,Konut,524000,TRY,524000,TRY,2,1,2 + 1,110,1,İstanbul,560,Kağıthane,74396,Sultan Selim
421012,1884797,Sale,Konut İmarlı,Arsa,1250000,TRY,1250000,TRY,,,,6154,32637,Muğla,32886,Köyceğiz,32914,Zeytinalanı
421013,1840556,Sale,Daire,Konut,195000,TRY,195000,TRY,2,1,2 + 1,105,19584,Eskişehir,20081,Tepebaşı,20127,Fatih
421014,952624,Sale,Daire,Konut,445000,TRY,445000,TRY,2,1,2 + 1,88,1,İstanbul,926,Ümraniye,939,İstiklal
421015,2037838,Rent,Daire,Konut,1350,TRY,1350,TRY,3,1,3 + 1,125,1,İstanbul,601,Küçükçekmece,611,Kemalpaşa
421016,709633,Sale,Daire,Konut,325000,TRY,325000,TRY,4,1,4 + 1,145,1012,Ankara,2482,Yenimahalle,2515,Karşıyaka
421017,838503,Sale,Villa,Konut,1150000,TRY,1150000,TRY,3,1,3 + 1,200,32637,Muğla,32638,Bodrum,32685,Gündoğan
421018,1580888,Sale,Daire,Konut,600000,TRY,600000,TRY,3,1,3 + 1,90,32637,Muğla,32638,Bodrum,32643,Eskiçeşme
421019,1827425,Sale,Daire,Konut,285000,TRY,285000,TRY,4,1,4 + 1,180,6253,Kocaeli,6455,İzmit,6545,Gündoğdu
421020,2278934,Sale,Villa,Konut,1350000,TRY,1350000,TRY,6,2,6 + 2,500,1,İstanbul,131,Başakşehir,141,Bahçeşehir 2. Kısım
421021,1468030,Sale,Tarla,Arsa,360000,TRY,360000,TRY,,,,4076,6253,Kocaeli,6357,Gebze,6393,Mudarlı
421022,893009,Sale,Rezidans,Konut,1000000,TRY,1000000,TRY,3,1,3 + 1,128,1,İstanbul,703,Sarıyer,704,Maslak
421023,2116426,Sale,Daire,Konut,160000,TRY,160000,TRY,2,1,2 + 1,100,42649,Uşak,42755,Uşak Merkez,70676,Cumhuriyet
421024,1435480,Sale,Müstakil Ev,Konut,450000,TRY,450000,TRY,3,1,3 + 1,110,32637,Muğla,32638,Bodrum,32648,Bitez
421025,1838785,Sale,Konut İmarlı,Arsa,58000,TRY,58000,TRY,,,,250,1,İstanbul,806,Silivri,827,Balaban
421026,1807308,Rent,Daire,Konut,1200,TRY,1200,TRY,2,1,2 + 1,100,2554,İzmir,3102,Karabağlar,3137,Üçkuyular
421027,2093853,Rent,Daire,Konut,950,TRY,950,TRY,2,1,2 + 1,110,41024,Tokat,41192,Tokat Merkez,70131,Yeşilırmak
421028,1973362,Sale,Daire,Konut,95000,TRY,95000,TRY,1,1,1 + 1,40,26208,Kırklareli,26331,Kırklareli Merkez,70605,Akalar
421029,1770419,Sale,Daire,Konut,315000,TRY,315000,TRY,4,2,4 + 2,200,1012,Ankara,1912,Keçiören,1914,Atapark
421030,1446925,Rent,Daire,Konut,1850,TRY,1850,TRY,1,1,1 + 1,55,1,İstanbul,113,Bakırköy,69723,Ataköy 7-8-9-10. Kısım
421031,929050,Sale,Ofis,İşyeri,860000,TRY,860000,TRY,1,1,1 + 1,86,1,İstanbul,49,Ataşehir,69752,Atatürk
421032,2191992,Sale,Daire,Konut,285000,TRY,285000,TRY,3,1,3 + 1,150,3960,Antalya,4641,Konyaaltı,4648,Molla Yusuf
421033,591490,Sale,Konut İmarlı,Arsa,1100000,TRY,1100000,TRY,,,,3028,32637,Muğla,32917,Marmaris,32950,Söğüt
421034,2167088,Sale,Daire,Konut,139000,TRY,139000,TRY,4,1,4 + 1,160,1012,Ankara,1912,Keçiören,1959,Bağlum Güzelyurt
421035,1564881,Sale,Daire,Konut,560000,TRY,560000,TRY,4,1,4 + 1,220,10423,Aydın,10831,Kuşadası,10850,Ege
421036,2149410,Rent,Daire,Konut,1000,TRY,1000,TRY,3,1,3 + 1,120,1,İstanbul,580,Kartal,586,Hürriyet
421037,2189225,Sale,Daire,Konut,82000,TRY,82000,TRY,3,1,3 + 1,166,33740,Nevşehir,33904,Nevşehir Merkez,70030,350 Evler
421038,1603173,Sale,Villa,Konut,930000,TRY,930000,TRY,3,1,3 + 1,174,1,İstanbul,131,Başakşehir,140,Bahçeşehir 1. Kısım
421039,2211010,Rent,Daire,Konut,1100,TRY,1100,TRY,3,1,3 + 1,129,1,İstanbul,131,Başakşehir,141,Bahçeşehir 2. Kısım
421040,1967526,Sale,Daire,Konut,182000,TRY,182000,TRY,1,1,1 + 1,55,10423,Aydın,10576,Didim,10589,Akbük
421041,1966346,Sale,Konut İmarlı,Arsa,260000,TRY,260000,TRY,,,,245,25014,Kayseri,25366,Melikgazi,25455,Yıldırım Beyazıt
421042,2085502,Sale,Daire,Konut,225000,TRY,225000,TRY,2,1,2 + 1,110,11210,Balıkesir,11609,Edremit,11640,Akçay
421043,1386751,Sale,Bahçe,Arsa,280000,TRY,280000,TRY,,,,421,1,İstanbul,182,Beykoz,223,Paşamandıra
421044,1911645,Sale,Daire,Konut,240000,TRY,240000,TRY,2,1,2 + 1,110,36701,Samsun,36803,Atakum,36822,İstiklal
421045,2276306,Sale,Daire,Konut,960000,TRY,960000,TRY,4,1,4 + 1,240,25014,Kayseri,25245,Kocasinan,25339,Uğurevler
421046,1612292,Sale,Daire,Konut,550000,TRY,550000,TRY,4,1,4 + 1,210,1012,Ankara,1322,Çankaya,1325,Dodurga
421047,1404580,Sale,Villa,Konut,550000,TRY,550000,TRY,3,1,3 + 1,110,10423,Aydın,10831,Kuşadası,10850,Ege
421048,1910496,Rent,Daire,Konut,900,TRY,900,TRY,1,1,1 + 1,70,1,İstanbul,101,Bahçelievler,109,Soğanlı
421049,1820734,Sale,Dükkan / Mağaza,İşyeri,1850000,TRY,1850000,TRY,,,,220,1012,Ankara,1912,Keçiören,1918,Etlik
421050,1089971,Sale,Daire,Konut,550000,TRY,550000,TRY,2,1,2 + 1,90,1,İstanbul,843,Şişli,864,Merkez
421051,1905015,Sale,Daire,Konut,125000,TRY,125000,TRY,2,1,2 + 1,100,1012,Ankara,1912,Keçiören,1942,Karakaya
421052,1925351,Sale,Daire,Konut,177000,TRY,177000,TRY,2,1,2 + 1,105,3960,Antalya,4065,Alanya,4093,Kızlar Pınarı
421053,1910967,Sale,Daire,Konut,250000,TRY,250000,TRY,3,1,3 + 1,150,1012,Ankara,2482,Yenimahalle,2532,Yakacık
421054,1440182,Rent,Daire,Konut,675,TRY,675,TRY,3,1,3 + 1,110,1012,Ankara,1912,Keçiören,1949,Osmangazi
421055,1053951,Sale,Müstakil Ev,Konut,1998500,TRY,1998500,TRY,6,2,6 + 2,220,32637,Muğla,33132,Ula,33143,Çıtlık
421056,1626583,Rent,Daire,Konut,1000,TRY,1000,TRY,2,1,2 + 1,120,6826,Adana,7452,Seyhan,7540,Pınar
421057,1910917,Rent,Daire,Konut,1050,TRY,1050,TRY,3,1,3 + 1,130,1,İstanbul,625,Maltepe,634,Fındıklı
421058,1899064,Sale,Daire,Konut,290000,TRY,290000,TRY,2,1,2 + 1,110,3960,Antalya,4065,Alanya,4087,Mahmutlar
421059,1381621,Rent,Daire,Konut,2600,TRY,2600,TRY,2,1,2 + 1,110,1,İstanbul,537,Kadıköy,540,Kozyatağı
421060,2072881,Sale,Daire,Konut,329000,TRY,329000,TRY,2,1,2 + 1,80,1,İstanbul,560,Kağıthane,575,Talatpaşa
421061,1072108,Sale,Daire,Konut,150000,TRY,150000,TRY,2,1,2 + 1,57,35966,Sakarya,36626,Serdivan,36636,Kemalpaşa
421062,1895568,Rent,Daire,Konut,1750,TRY,1750,TRY,1,1,1 + 1,55,3960,Antalya,4947,Muratpaşa,4950,Güzeloba
421063,1417459,Sale,Daire,Konut,400000,TRY,400000,TRY,4,1,4 + 1,208,28777,Malatya,29593,Yeşilyurt,46045,Yakınca
421064,2091279,Rent,Daire,Konut,12000,TRY,12000,TRY,2,1,2 + 1,100,6826,Adana,6995,Çukurova,7001,Huzurevleri
421065,2029474,Sale,Daire,Konut,264061,TRY,264061,TRY,3,1,3 + 1,150,41649,Trabzon,42456,Ortahisar,42485,Gazipaşa
421066,2207071,Sale,Müstakil Ev,Konut,425000,TRY,425000,TRY,4,1,4 + 1,331,6826,Adana,7322,Pozantı,7333,Akçatekir
421067,2085162,Sale,Villa,Konut,6500000,TRY,6500000,TRY,6,2,6 + 2,550,1,İstanbul,182,Beykoz,187,Acarlar
421068,2276344,Sale,Villa,Konut,480000,TRY,480000,TRY,3,1,3 + 1,145,32637,Muğla,32956,Milas,32991,Güllük
421069,1906913,Sale,Daire,Konut,120000,TRY,120000,TRY,2,1,2 + 1,95,14827,Çorum,15038,Çorum Merkez,70358,Bahçelievler
421070,1340780,Rent,Daire,Konut,750,TRY,750,TRY,3,1,3 + 1,140,36701,Samsun,37367,İlkadım,37377,Kalkancı
421071,1299232,Sale,Bahçe,Arsa,65000,TRY,65000,TRY,,,,3800,3960,Antalya,5004,Serik,5081,Yumaklar
421072,2085574,Sale,Daire,Konut,275000,TRY,275000,TRY,3,1,3 + 1,145,1,İstanbul,394,Esenyurt,407,Mehterçeşme
421073,1902720,Sale,Daire,Konut,249000,TRY,249000,TRY,2,1,2 + 1,80,10423,Aydın,10576,Didim,10583,Çamlık
421074,1827956,Sale,Daire,İşyeri,142000,TRY,142000,TRY,2,1,2 + 1,100,12672,Batman,12834,Batman Merkez,69757,Raman
421075,1643068,Sale,Daire,Konut,425000,TRY,425000,TRY,2,1,2 + 1,115,2554,İzmir,3183,Karşıyaka,3195,Şemikler
421076,378036,Sale,Daire,Konut,185000,TRY,185000,TRY,3,1,3 + 1,125,2554,İzmir,3212,Kemalpaşa,3216,Cumhuriyet
421077,1932877,Sale,Daire,Konut,245000,TRY,245000,TRY,4,1,4 + 1,160,1012,Ankara,1912,Keçiören,1931,Ayvalı
421078,1199405,Sale,Daire,Konut,380000,TRY,380000,TRY,2,1,2 + 1,90,1,İstanbul,580,Kartal,599,Soğanlık Yeni
421079,2186976,Rent,Daire,Konut,4950,TRY,4950,TRY,3,1,3 + 1,167,2554,İzmir,3183,Karşıyaka,3184,Mavişehir
421080,2206268,Rent,Daire,Konut,1100,TRY,1100,TRY,2,1,2 + 1,60,15241,Denizli,15759,Pamukkale,73164,Kınıklı
421081,1925883,Sale,Daire,Konut,229000,TRY,229000,TRY,2,1,2 + 1,87,1,İstanbul,887,Sultangazi,896,Sultançiftliği
421082,2044152,Sale,Daire,Konut,230000,TRY,230000,TRY,3,1,3 + 1,175,18260,Erzurum,19480,Yakutiye,19582,Şükrüpaşa
421083,1504831,Sale,Daire,Konut,139000,TRY,139000,TRY,1,1,1 + 1,50,11210,Balıkesir,11609,Edremit,11640,Akçay
421084,1541364,Sale,Daire,Konut,165000,TRY,165000,TRY,3,1,3 + 1,110,5092,Bursa,5138,Gemlik,5144,Dr. Ziya Kaya
421085,640903,Sale,Daire,Konut,775000,TRY,775000,TRY,2,1,2 + 1,120,1,İstanbul,537,Kadıköy,540,Kozyatağı
421086,1801969,Sale,Daire,Konut,195000,TRY,195000,TRY,3,1,3 + 1,145,31676,Mersin,31677,Akdeniz,31728,Yeni
421087,2222022,Rent,Daire,Konut,1350,TRY,1350,TRY,2,1,2 + 1,95,1,İstanbul,926,Ümraniye,939,İstiklal
421088,1921778,Rent,Daire,Konut,1400,TRY,1400,TRY,2,1,2 + 1,110,32637,Muğla,32706,Dalaman,32711,Altıntas
421089,2302341,Sale,Daire,Konut,225000,TRY,225000,TRY,3,1,3 + 1,145,3960,Antalya,4065,Alanya,4087,Mahmutlar
421090,2146323,Sale,Daire,Konut,189500,TRY,189500,TRY,3,1,3 + 1,138,1012,Ankara,2071,Mamak,2113,Mutlu
421091,1935309,Sale,Daire,Konut,195000,TRY,195000,TRY,3,1,3 + 1,120,29689,Manisa,30762,Şehzadeler,30789,Ege
421092,815014,Sale,Daire,Konut,4500000,TRY,4500000,TRY,4,2,4 + 2,290,1,İstanbul,66134,Eyüpsultan,66199,Göktürk Merkez
421093,2157192,Sale,Komple Bina,Konut,370000,TRY,370000,TRY,,,,289,34286,Ordu,35185,Altınordu,35228,Karşıyaka
421094,2176747,Rent,Daire,Konut,1250,TRY,1250,TRY,2,1,2 + 1,100,2554,İzmir,3183,Karşıyaka,3194,Örnekköy
421095,1294391,Sale,Daire,Konut,665000,TRY,665000,TRY,2,1,2 + 1,123,1,İstanbul,926,Ümraniye,937,Esenşehir
421096,1716333,Sale,Daire,Konut,319000,TRY,319000,TRY,3,1,3 + 1,175,41649,Trabzon,42456,Ortahisar,42473,Karşıyaka
421097,2068642,Rent,Daire,Konut,900,TRY,900,TRY,2,1,2 + 1,65,1,İstanbul,144,Bayrampaşa,149,Yıldırım
421098,227619,Sale,Daire,Konut,93000,TRY,93000,TRY,2,1,2 + 1,105,1,İstanbul,394,Esenyurt,49097,Sultaniye
421099,584042,Sale,Daire,Konut,275000,TRY,275000,TRY,3,1,3 + 1,145,3960,Antalya,4641,Konyaaltı,4656,Öğretmenevleri
421100,1584816,Sale,Konut İmarlı,Arsa,2200000,TRY,2200000,TRY,,,,1830,3960,Antalya,5004,Serik,5053,Boğazkent
421101,1450137,Sale,Konut İmarlı,Arsa,170000,TRY,170000,TRY,,,,300,24121,Karaman,24214,Karaman Merkez,72331,Gevher Hatun
421102,566648,Sale,Villa,Konut,1350000,TRY,1350000,TRY,5,2,5 + 2,360,1,İstanbul,131,Başakşehir,141,Bahçeşehir 2. Kısım
421103,2090506,Sale,Konut İmarlı,Arsa,65000,TRY,65000,TRY,,,,250,1,İstanbul,806,Silivri,827,Balaban
421104,834907,Sale,Daire,Konut,460000,TRY,460000,TRY,4,2,4 + 2,165,1,İstanbul,355,Çekmeköy,359,Çamlık
421105,594081,Rent,Daire,Konut,850,TRY,850,TRY,1,1,1 + 1,85,1,İstanbul,131,Başakşehir,137,Kayabaşı
421106,2305842,Sale,Daire,Konut,410000,TRY,410000,TRY,3,1,3 + 1,145,10423,Aydın,10831,Kuşadası,10833,İkiçeşmelik
421107,1368299,Rent,Dükkan / Mağaza,İşyeri,35000,TRY,35000,TRY,,,,80,10423,Aydın,10831,Kuşadası,10847,Camikebir
421108,1493740,Sale,Tarla,Arsa,80000,TRY,80000,TRY,,,,1,6826,Adana,7214,Kozan,7264,Akçalıuşağı
421109,1990031,Sale,Daire,Konut,180000,TRY,180000,TRY,3,1,3 + 1,155,31676,Mersin,31885,Erdemli,31959,Alata
421110,2232547,Sale,Daire,Konut,175000,TRY,175000,TRY,2,1,2 + 1,90,10423,Aydın,10831,Kuşadası,10833,İkiçeşmelik
421111,2102913,Rent,Daire,Konut,1250,TRY,1250,TRY,2,1,2 + 1,85,1,İstanbul,101,Bahçelievler,108,Siyavuşpaşa
421112,1128483,Rent,Villa,Konut,7500,TRY,7500,TRY,4,2,4 + 2,320,1,İstanbul,131,Başakşehir,140,Bahçeşehir 1. Kısım
421113,2286136,Rent,Daire,Konut,1750,TRY,1750,TRY,2,1,2 + 1,85,1,İstanbul,963,Üsküdar,969,Bulgurlu
421114,1509090,Sale,Daire,Konut,980000,TRY,980000,TRY,3,1,3 + 1,190,3960,Antalya,4947,Muratpaşa,4954,Şirinyalı
421115,2133433,Rent,Daire,Konut,1200,TRY,1200,TRY,2,1,2 + 1,70,2554,İzmir,2907,Buca,2923,Dumlupınar
421116,1235767,Sale,Daire,Konut,200000,TRY,200000,TRY,2,1,2 + 1,90,1,İstanbul,67,Avcılar,69,Cihangir
421117,2161660,Rent,Daire,Konut,1000,TRY,1000,TRY,1,0,1 + 0,40,1,İstanbul,394,Esenyurt,47880,Zafer
421118,1534786,Rent,Daire,Konut,1800,TRY,1800,TRY,2,1,2 + 1,100,1,İstanbul,703,Sarıyer,712,Maden
421119,1883416,Rent,Daire,Konut,850,TRY,850,TRY,3,1,3 + 1,180,36701,Samsun,37367,İlkadım,37413,Tepecik
421120,2057860,Sale,Daire,Konut,203000,TRY,203000,TRY,2,1,2 + 1,115,6826,Adana,7452,Seyhan,7528,Gürselpaşa
